                                        List of relations
 Schema |                              Name                              | Type  |     Owner      
--------+----------------------------------------------------------------+-------+----------------
 public | administration_adminactionlog                                  | table | cliniciq2_user
 public | administration_documentsettings                                | table | cliniciq2_user
 public | administration_revenueplan                                     | table | cliniciq2_user
 public | administration_systemsettings                                  | table | cliniciq2_user
 public | ai_analytics_aiconversation                                    | table | cliniciq2_user
 public | ai_analytics_aiquery                                           | table | cliniciq2_user
 public | ai_analytics_analyticssnapshot                                 | table | cliniciq2_user
 public | appointments_appointment                                       | table | cliniciq2_user
 public | appointments_appointmentbufferentry                            | table | cliniciq2_user
 public | appointments_appointmenteventlog                               | table | cliniciq2_user
 public | appointments_appointmentfile                                   | table | cliniciq2_user
 public | appointments_appointmentimage                                  | table | cliniciq2_user
 public | appointments_appointmentreason                                 | table | cliniciq2_user
 public | appointments_cancellationreason                                | table | cliniciq2_user
 public | appointments_complextreatmentplan                              | table | cliniciq2_user
 public | appointments_dentalformula                                     | table | cliniciq2_user
 public | appointments_diaryfieldtemplate                                | table | cliniciq2_user
 public | appointments_diaryfieldtemplate_tags                           | table | cliniciq2_user
 public | appointments_diarytemplategroup                                | table | cliniciq2_user
 public | appointments_diarytemplategroup_tags                           | table | cliniciq2_user
 public | appointments_diarytemplategroupitem                            | table | cliniciq2_user
 public | appointments_quickphrase                                       | table | cliniciq2_user
 public | appointments_quickphrase_tags                                  | table | cliniciq2_user
 public | appointments_quickphrasetag                                    | table | cliniciq2_user
 public | appointments_technicalappointmentreason                        | table | cliniciq2_user
 public | appointments_treatmentplan                                     | table | cliniciq2_user
 public | appointments_treatmentplanfile                                 | table | cliniciq2_user
 public | appointments_treatmentplangroup                                | table | cliniciq2_user
 public | appointments_treatmentplanimage                                | table | cliniciq2_user
 public | appointments_treatmentplanstage                                | table | cliniciq2_user
 public | appointments_treatmentplanstage_assistants                     | table | cliniciq2_user
 public | appointments_treatmentplanstageprocedure                       | table | cliniciq2_user
 public | appointments_treatmentplantitle                                | table | cliniciq2_user
 public | appointments_treatmentstagetitle                               | table | cliniciq2_user
 public | appointments_waitinglistentry                                  | table | cliniciq2_user
 public | audits_auditblock                                              | table | cliniciq2_user
 public | audits_auditinstance                                           | table | cliniciq2_user
 public | audits_auditinstance_audited_users                             | table | cliniciq2_user
 public | audits_auditinstanceparameter                                  | table | cliniciq2_user
 public | audits_auditparameter                                          | table | cliniciq2_user
 public | audits_audittype                                               | table | cliniciq2_user
 public | auth_group                                                     | table | cliniciq2_user
 public | auth_group_permissions                                         | table | cliniciq2_user
 public | auth_permission                                                | table | cliniciq2_user
 public | auth_user                                                      | table | cliniciq2_user
 public | auth_user_groups                                               | table | cliniciq2_user
 public | auth_user_user_permissions                                     | table | cliniciq2_user
 public | chatbots_broadcastlog                                          | table | cliniciq2_user
 public | chatbots_chatbotconfig                                         | table | cliniciq2_user
 public | chatbots_chatbotconfig_appointment_action_task_assigned_groups | table | cliniciq2_user
 public | chatbots_chatbotconfig_appointment_action_task_assigned_users  | table | cliniciq2_user
 public | chatbots_conversation                                          | table | cliniciq2_user
 public | chatbots_conversationgroup                                     | table | cliniciq2_user
 public | chatbots_groupchat                                             | table | cliniciq2_user
 public | chatbots_groupchatmember                                       | table | cliniciq2_user
 public | chatbots_groupmessage                                          | table | cliniciq2_user
 public | chatbots_message                                               | table | cliniciq2_user
 public | chatbots_staffchat                                             | table | cliniciq2_user
 public | chatbots_staffmessage                                          | table | cliniciq2_user
 public | clinics_clinic                                                 | table | cliniciq2_user
 public | clinics_customfield                                            | table | cliniciq2_user
 public | django_admin_log                                               | table | cliniciq2_user
 public | django_celery_beat_clockedschedule                             | table | cliniciq2_user
 public | django_celery_beat_crontabschedule                             | table | cliniciq2_user
 public | django_celery_beat_intervalschedule                            | table | cliniciq2_user
 public | django_celery_beat_periodictask                                | table | cliniciq2_user
 public | django_celery_beat_periodictasks                               | table | cliniciq2_user
 public | django_celery_beat_solarschedule                               | table | cliniciq2_user
 public | django_content_type                                            | table | cliniciq2_user
 public | django_migrations                                              | table | cliniciq2_user
